"","10090","9606","10090_ID","9606_ID"
"96","Rpa1","RPA1",68275,6117
"97","Serpinf1","SERPINF1",20317,5176
"98","Tubgcp3","TUBGCP3",259279,10426
"99","Oprm1","OPRM1",18390,4988
"100","Polr3d","POLR3D",67065,661
"101","Ddx3x","DDX3X",13205,1654
"102","Slc5a5","SLC5A5",114479,6528
"103","Kcnn3","KCNN3",140493,3782
"104","Usp32","USP32",237898,84669
"105","Car4","CA4",12351,762
"106","Txnrd3","TXNRD3",232223,114112
"107","Dnajc5","DNAJC5",13002,80331
"108","Tpd52l2","TPD52L2",66314,7165
"109","Fmr1","FMR1",14265,2332
"110","Bcl11a","BCL11A",14025,53335
"111","Il4","IL4",16189,3565
"112","Pxmp4","PXMP4",59038,11264
"113","Dlg3","DLG3",53310,1741
"114","Gnb1l","GNB1L",13972,54584
"115","Dbh","DBH",13166,1621
"116","Mmp11","MMP11",17385,4320
"117","Smarcb1","SMARCB1",20587,6598
"118","Hip1r","HIP1R",29816,9026
"119","Nsun5","NSUN5",100609,55695
"120","Top1mt","TOP1MT",72960,116447
"121","Mmp14","MMP14",17387,4323
"122","Slc7a7","SLC7A7",20540,9056
"123","Oxa1l","OXA1L",69089,5018
"124","Heatr6","HEATR6",217026,63897
"125","Ccl3","CCL3L3",20302,414062
"126","Icam4","ICAM4",78369,3386
"127","Ilf2","ILF2",67781,3608
"128","Snapin","SNAPIN",20615,23557
"129","S100a4","S100A4",20198,6275
"130","S100a3","S100A3",20197,6274
"131","S100a6","S100A6",20200,6277
"132","Icam2","ICAM2",15896,3384
"133","Mapk7","MAPK7",23939,5598
"134","Epn2","EPN2",13855,22905
"135","B9d1","B9D1",27078,27077
"136","Sec24b","SEC24B",99683,10427
"137","N4bp3","N4BP3",212706,23138
"138","Rmnd5b","RMND5B",66089,64777
"139","Nhp2","NHP2",52530,55651
"140","Vps9d1","VPS9D1",72325,9605
"141","Zfp276","ZNF276",57247,92822
"142","Mfsd10","MFSD10",68294,10227
"143","Luzp1","LUZP1",269593,7798
"144","Kctd10","KCTD10",330171,83892
"145","Poldip2","POLDIP2",67811,26073
"146","Sebox","SEBOX",18292,645832
"147","Ift20","IFT20",55978,90410
"148","Col6a1","COL6A1",12833,1291
"149","Pcbp3","PCBP3",59093,54039
"150","Lgals9","LGALS9B",16859,284194
"151","Araf","ARAF",11836,369
"152","Cfp","CFP",18636,5199
"153","Timp1","TIMP1",21857,7076
"154","Uxt","UXT",22294,8409
"155","Cnnm3","CNNM3",94218,26505
"156","Lman2l","LMAN2L",214895,81562
"157","Mcm3ap","MCM3AP",54387,8888
"158","Mxd1","MXD1",17119,4084
"159","Gmcl1","GMCL1",23885,64395
"160","Snrnp27","SNRNP27",66618,11017
"161","Ocrl","OCRL",320634,4952
"162","Agpat3","AGPAT3",28169,56894
"163","Sema6b","SEMA6B",20359,10501
"164","Dpp9","DPP9",224897,91039
"165","Ramp2","RAMP2",54409,10266
"166","Lsr","LSR",54135,51599
"167","Gramd1a","GRAMD1A",52857,57655
"168","Gabrg1","GABRG1",14405,2565
"169","Ckb","CKB",12709,1152
"170","Sp1","SP1",20683,6667
"171","Myg1","C12orf10",60315,60314
"172","Rarg","RARG",19411,5916
"173","Pfdn5","PFDN5",56612,5204
"174","Efnb2","EFNB2",13642,1948
"175","Rrp15","RRP15",67223,51018
"176","Rnd2","RND2",11858,8153
"177","Srr","SRR",27364,63826
"178","Sync","SYNC",68828,81493
"179","Fndc5","FNDC5",384061,252995
"180","Cnn1","CNN1",12797,1264
"181","Fbxo9","FBXO9",71538,26268
"182","Hars","HARS",15115,3035
"183","Zmat2","ZMAT2",66492,153527
"184","Ube2c","UBE2C",68612,11065
"185","Smg5","SMG5",229512,23381
"186","Cct3","CCT3",12462,7203
"187","Mef2d","MEF2D",17261,4209
"188","Tmem79","TMEM79",71913,84283
"189","Snd1","SND1",56463,27044
"190","Col18a1","COL18A1",12822,80781
"191","Slc19a1","SLC19A1",20509,6573
"192","Kpnb1","KPNB1",16211,3837
"193","Npepps","NPEPPS",19155,9520
"194","Mrpl10","MRPL10",107732,124995
"195","Cyp51","CYP51A1",13121,1595
"196","Tcf25","TCF25",66855,22980
"197","Tubb6","TUBB6",67951,84617
"198","Def8","DEF8",23854,54849
"199","Meox1","MEOX1",17285,4222
"200","Col1a1","COL1A1",12842,1277
"201","Itga3","ITGA3",16400,3675
"202","Sgca","SGCA",20391,6442
"203","Foxm1","FOXM1",14235,2305
"204","Itfg2","ITFG2",101142,55846
"205","Nrip2","NRIP2",60345,83714
"206","Tulp3","TULP3",22158,7289
"207","Gtf2h4","GTF2H4",14885,2968
"208","Tubb5","TUBB",22154,203068
"209","Ell2","ELL2",192657,22936
"210","Jup","JUP",16480,3728
"211","Fkbp10","FKBP10",14230,60681
"212","Nom1","NOM1",433864,64434
"213","Ergic1","ERGIC1",67458,57222
"214","Tcea3","TCEA3",21401,6920
"215","Ifrd1","IFRD1",15982,3475
"216","Stk38l","STK38L",232533,23012
"217","Brpf1","BRPF1",78783,7862
"218","Akr1b3","AKR1B1",11677,231
"219","Ddt","DDT",13202,1652
"220","Marveld3","MARVELD3",73608,91862
"221","Ddx18","DDX18",66942,8886
"222","Ubl3","UBL3",24109,5412
"223","Gramd3","GRAMD3",107022,65983
"224","Eef1e1","EEF1E1",66143,9521
"225","Akt1","AKT1",11651,207
"226","Il16","IL16",16170,3603
"227","Tcirg1","TCIRG1",27060,10312
"228","Naglu","NAGLU",27419,4669
"229","Coasy","COASY",71743,80347
"230","Smo","SMO",319757,6608
"231","Tspan33","TSPAN33",232670,340348
"232","Crnkl1","CRNKL1",66877,51340
"233","Rin2","RIN2",74030,54453
"234","Chordc1","CHORDC1",66917,26973
"235","Rtcb","RTCB",28088,51493
"236","Pwp1","PWP1",103136,11137
"237","Fbxo7","FBXO7",69754,25793
"238","Capns1","CAPNS1",12336,826
"239","Lrp3","LRP3",435965,4037
"240","Folr1","FOLR1",14275,2348
"241","Clpb","CLPB",20480,81570
"242","Sept7","SEPT7",235072,989
"243","Zdhhc4","ZDHHC4",72881,55146
"244","Rac1","RAC1",19353,5879
"245","Nup214","NUP214",227720,8021
"246","Aif1l","AIF1L",108897,83543
"247","Ltbp1","LTBP1",268977,4052
"248","Ugp2","UGP2",216558,7360
"249","Kcnh6","KCNH6",192775,81033
"250","Trmt1","TRMT1",212528,55621
"251","Nacc1","NACC1",66830,112939
"252","Nfix","NFIX",18032,4784
"253","Slc1a5","SLC1A5",20514,6510
"254","Uba1","UBA1",22201,7317
"255","Vwf","VWF",22371,7450
"256","Siae","SIAE",22619,54414
"257","Vsig2","VSIG2",57276,23584
"258","Esam","ESAM",69524,90952
"259","Spa17","SPA17",20686,53340
"260","Fam50a","FAM50A",108160,9130
"261","Emd","EMD",13726,2010
"262","Taco1","TACO1",70207,51204
"263","Grik3","GRIK3",14807,2899
"264","Gria3","GRIA3",53623,2892
"265","Npas1","NPAS1",18142,4861
"266","Sipa1l2","SIPA1L2",244668,57568
"267","Ap4e1","AP4E1",108011,23431
"268","Blvra","BLVRA",109778,644
"269","Pdzd4","PDZD4",245469,57595
"270","Srpk3","SRPK3",56504,26576
"271","Idh3g","IDH3G",15929,3421
"272","Pnck","PNCK",93843,139728
"273","Ssr4","SSR4",20832,6748
"274","Bcap31","BCAP31",27061,10134
"275","Fam98a","FAM98A",72722,25940
"276","Ltbp2","LTBP2",16997,4053
"277","Kmt2a","KMT2A",214162,4297
"278","Ift46","IFT46",76568,56912
"279","Tmem25","TMEM25",71687,84866
"280","Trappc6a","TRAPPC6A",67091,79090
"281","Supt6","SUPT6H",20926,6830
"282","Spag5","SPAG5",54141,10615
"283","Unc119","UNC119",22248,9094
"284","Rab34","RAB34",19376,83871
"285","Sdf2","SDF2",20316,6388
"286","Ccne1","CCNE1",12447,898
"287","Hsf2bp","HSF2BP",74377,11077
"288","Bbc3","BBC3",170770,27113
"289","Mybpc3","MYBPC3",17868,4607
"290","Psmc3","PSMC3",19182,5702
"291","Acp2","ACP2",11432,53
"292","Rapsn","RAPSN",19400,5913
"293","Slc39a13","SLC39A13",68427,91252
"294","Celf2","CELF2",14007,10659
"295","Nr1h3","NR1H3",22259,10062
"296","Ddb2","DDB2",107986,1643
"297","Spi1","SPI1",20375,6688
"298","Sf3a1","SF3A1",67465,10291
"299","Stat6","STAT6",20852,6778
"300","Clgn","CLGN",12745,1047
"301","Vrk3","VRK3",101568,51231
"302","Smg9","SMG9",71997,56006
"303","Rmnd5a","RMND5A",68477,64795
"304","Mov10","MOV10",17454,4343
"305","Ppm1j","PPM1J",71887,333926
"306","Rhoc","RHOC",11853,389
"307","Tead3","TEAD3",21678,7005
"308","Ppard","PPARD",19015,5467
"309","Def6","DEF6",23853,50619
"310","Peg3","PEG3",18616,5178
"311","Metrn","METRN",70083,79006
"312","Lmf1","LMF1",76483,64788
"313","Narfl","NARFL",67563,64428
"314","Angptl4","ANGPTL4",57875,51129
"315","Dbf4","DBF4",27214,10926
"316","Daxx","DAXX",13163,1616
"317","Cd320","CD320",54219,51293
"318","Ipo4","IPO4",75751,79711
"319","Tm9sf1","TM9SF1",74140,10548
"320","Rec8","REC8",56739,9985
"321","Irf9","IRF9",16391,10379
"322","Gmpr2","GMPR2",105446,51292
"323","Mdp1","MDP1",67881,145553
"324","Dhrs1","DHRS1",52585,115817
"325","Ncan","NCAN",13004,1463
"326","Tmem161a","TMEM161A",234371,54929
"327","Armc6","ARMC6",76813,93436
"328","Slc25a42","SLC25A42",73095,284439
"329","Snx9","SNX9",66616,51429
"330","Ranbp3","RANBP3",71810,8498
"331","Ndufa11","NDUFA11",69875,126328
"332","Nr2f6","NR2F6",13864,2063
"333","Use1","USE1",67023,55850
"334","Ocel1","OCEL1",77090,79629
"335","Dyrk1b","DYRK1B",13549,9149
"336","Braf","BRAF",109880,673
"337","Ndufb2","NDUFB2",68198,4708
"338","Hltf","HLTF",20585,6596
"339","Prpf6","PRPF6",68879,24148
"340","Rgs19","RGS19",56470,10287
"341","Rgs20","RGS20",58175,8601
"342","Abhd3","ABHD3",106861,171586
"343","Snrpd1","SNRPD1",20641,6632
"344","Tchp","TCHP",77832,84260
"345","Tiam1","TIAM1",21844,7074
"346","Tsc2","TSC2",22084,7249
"347","Rpl3l","RPL3L",66211,6123
"348","Slc9a3r2","SLC9A3R2",65962,9351
"349","Puf60","PUF60",67959,22827
"350","Golga2","GOLGA2",99412,2801
"351","Uck1","UCK1",22245,83549
"352","Ikzf4","IKZF4",22781,64375
"353","Mien1","MIEN1",103742,84299
"354","Axl","AXL",26362,558
"355","Tgfb1","TGFB1",21803,7040
"356","Ccdc97","CCDC97",52132,90324
"357","Akap8l","AKAP8L",54194,26993
"358","Shh","SHH",20423,6469
"359","Pdcd2l","PDCD2L",68079,84306
"360","Gtf2f1","GTF2F1",98053,2962
"361","Clpp","CLPP",53895,8192
"362","Alkbh7","ALKBH7",66400,84266
"363","Dennd1c","DENND1C",70785,79958
"364","Med6","MED6",69792,10001
"365","Prkd1","PRKD1",18760,5587
"366","Lcp2","LCP2",16822,3937
"367","Cse1l","CSE1L",110750,1434
"368","Naa20","NAA20",67877,51126
"369","Prkra","PRKRA",23992,8575
"370","Fkbp7","FKBP7",14231,51661
"371","Plekha3","PLEKHA3",83435,65977
"372","Ykt6","YKT6",56418,10652
"373","Baz1b","BAZ1B",22385,9031
"374","Pex6","PEX6",224824,5190
"375","Mrpl2","MRPL2",27398,51069
"376","Mea1","MEA1",17256,4201
"377","Gnmt","GNMT",14711,27232
"378","Grin2d","GRIN2D",14814,2906
"379","Kdelr1","KDELR1",68137,10945
"380","Tmem143","TMEM143",70209,55260
"381","Ggct","GGCT",110175,79017
"382","Jag2","JAG2",16450,3714
"383","Btbd6","BTBD6",399566,90135
"384","Nudt14","NUDT14",66174,256281
"385","Epdr1","EPDR1",105298,54749
"386","Flii","FLII",14248,2314
"387","Top3a","TOP3A",21975,7156
"388","Atg4d","ATG4D",235040,84971
"389","Qtrt1","QTRT1",60507,81890
"390","Plin4","PLIN4",57435,729359
"391","Hdgfrp2","HDGFRP2",15193,84717
"392","Chaf1a","CHAF1A",27221,10036
"393","Adprh","ADPRH",11544,141
"394","Tmem39a","TMEM39A",67846,55254
"395","Timmdc1","TIMMDC1",76916,51300
"396","Pla1a","PLA1A",85031,51365
"397","Mcm2","MCM2",17216,4171
"398","Tpra1","TPRA1",24100,131601
"399","Nab1","NAB1",17936,4664
"400","Il17ra","IL17RA",16172,23765
"401","Lamb1","LAMB1",16777,3912
"402","Kcnn1","KCNN1",84036,3780
"403","Arrdc2","ARRDC2",70807,27106
"404","Cd36","CD36",12491,948
"405","Map2k7","MAP2K7",26400,5609
"406","Timm44","TIMM44",21856,10469
"407","Ap2a2","AP2A2",11772,161
"408","Pnkp","PNKP",59047,11284
"409","Med25","MED25",75613,81857
"410","Bcam","BCAM",57278,4059
"411","Clptm1","CLPTM1",56457,1209
"412","Relb","RELB",19698,5971
"413","Tomm40","TOMM40",53333,10452
"414","Apoe","APOE",11816,348
"415","Hbp1","HBP1",73389,26959
"416","Prkar2b","PRKAR2B",19088,5577
"417","Cdkn1b","CDKN1B",12576,1027
"418","Klf4","KLF4",16600,9314
"419","Ap1m1","AP1M1",11767,8907
"420","Rab8a","RAB8A",17274,4218
"421","Fam32a","FAM32A",67922,26017
"422","Stard3nl","STARD3NL",76205,83930
"423","Stk11","STK11",20869,6794
"424","Efna2","EFNA2",13637,1943
"425","Atp5d","ATP5D",66043,513
"426","Ppp5c","PPP5C",19060,5536
"427","Cdk12","CDK12",69131,51755
"428","Lipe","LIPE",16890,3991
"429","Pafah1b2","PAFAH1B2",18475,5049
"430","Tbc1d8","TBC1D8",54610,11138
"431","Cnot11","CNOT11",52846,55571
"432","Slc2a3","SLC2A3",20527,6515
"433","Foxj2","FOXJ2",60611,55810
"434","Sri","SRI",109552,6717
"435","Dgcr2","DGCR2",13356,9993
"436","Irf3","IRF3",54131,3661
"437","Bcl2l12","BCL2L12",75736,83596
"438","Mpnd","MPND",68047,84954
"439","Sh3gl1","SH3GL1",20405,6455
"440","Ebi3","EBI3",50498,10148
"441","Ccdc94","CCDC94",72886,55702
"442","Ranbp2","RGPD1",19386,400966
"443","Ranbp2","RGPD2",19386,729857
"444","Ranbp2","RGPD4",19386,285190
"445","Ranbp2","RGPD3",19386,653489
"446","Ranbp2","RGPD5",19386,84220
"447","Ranbp2","RGPD6",19386,729540
"448","Ranbp2","RGPD8",19386,727851
"449","Grk5","GRK5",14773,2869
"450","Dvl3","DVL3",13544,1857
"451","Abcf3","ABCF3",27406,55324
"452","Eif2b5","EIF2B5",224045,8893
"453","Cyth2","CYTH2",19158,9266
"454","Sult2b1","SULT2B1",54200,6820
"455","Car11","CA11",12348,770
"456","Dlgap1","DLGAP1",224997,9229
"457","Hck","HCK",15162,3055
"458","Mrpl4","MRPL4",66163,51073
"459","Keap1","KEAP1",50868,9817
"460","Glg1","GLG1",20340,2734
"461","Btbd2","BTBD2",208198,55643
"462","Csnk1g2","CSNK1G2",103236,1455
"463","Abhd17a","ABHD17A",216169,81926
"464","Cacnb3","CACNB3",12297,784
"465","Ccdc65","CCDC65",105833,85478
"466","Fkbp11","FKBP11",66120,51303
"467","Ddx23","DDX23",74351,9416
"468","Pld3","PLD3",18807,23646
"469","Grik5","GRIK5",14809,2901
"470","Cd79a","CD79A",12518,973
"471","Rabac1","RABAC1",14470,10567
"472","Etv3","ETV3",27049,2117
"473","Prkcsh","PRKCSH",19089,5589
"474","Elavl3","ELAVL3",15571,1995
"475","Rab3b","RAB3B",69908,5865
"476","St8sia6","ST8SIA6",241230,338596
"477","Fcgrt","FCGRT",14132,2217
"478","Nosip","NOSIP",66394,51070
"479","Pih1d1","PIH1D1",68845,55011
"480","Rps11","RPS11",27207,6205
"481","Supt5","SUPT5H",20924,6829
"482","Dll3","DLL3",13389,10683
"483","Paf1","PAF1",54624,54623
"484","Timm50","TIMM50",66525,92609
"485","Med29","MED29",67224,55588
"486","Bicd1","BICD1",12121,636
"487","Ncstn","NCSTN",59287,23385
"488","Pex19","PEX19",19298,5824
"489","Phyhip","PHYHIP",105653,9796
"490","Crhr2","CRHR2",12922,1395
"491","Inmt","INMT",21743,11185
"492","Impdh1","IMPDH1",23917,3614
"493","Dusp3","DUSP3",72349,1845
"494","Prodh","LOC102724788",19125,102724788
"495","Prodh","PRODH",19125,5625
"496","Dgcr14","DGCR14",27886,8220
"497","Ddr1","DDR1",12305,780
"498","Ier3","IER3",15937,8870
"499","Fosb","FOSB",14282,2354
"500","Klc4","KLC4",74764,89953
"501","Ercc1","ERCC1",13870,2067
"502","As3mt","AS3MT",57344,57412
"503","Homer3","HOMER3",26558,9454
"504","Crtc1","CRTC1",382056,23373
"505","Rnf215","RNF215",71673,200312
"506","Sec14l2","SEC14L2",67815,23541
"507","Aven","AVEN",74268,57099
"508","Cp","CP",12870,1356
"509","Crot","CROT",74114,54677
"510","Rps6ka1","RPS6KA1",20111,6195
"511","Calb2","CALB2",12308,794
"512","Snrnp200","SNRNP200",320632,23020
"513","Ciao1","CIAO1",26371,9391
"514","Has1","HAS1",15116,3036
"515","Taf6l","TAF6L",225895,10629
"516","Insig2","INSIG2",72999,51141
"517","Kpna6","KPNA6",16650,23633
"518","Man1a","MAN1A1",17155,4121
"519","Itpkc","ITPKC",233011,80271
"520","Brd8","BRD8",78656,10902
"521","Kif20a","KIF20A",19348,10112
"522","Farsa","FARSA",66590,2193
"523","Gcdh","GCDH",270076,2639
"524","Mast2","MAST2",17776,23139
"525","Dnase2a","DNASE2",13423,1777
"526","Rad23a","RAD23A",19358,5886
"527","Calr","CALR",12317,811
"528","Syce2","SYCE2",71846,256126
"529","Nfat5","NFAT5",54446,10725
"530","Nob1","NOB1",67619,28987
"531","Nqo1","NQO1",18104,1728
"532","Ppfia3","PPFIA3",76787,8541
"533","Gys1","GYS1",14936,2997
"534","Ruvbl2","RUVBL2",20174,10856
"535","Lin7b","LIN7B",22342,64130
"536","Bax","BAX",12028,581
"537","Il7r","IL7R",16197,3575
"538","Tfam","TFAM",21780,7019
"539","Efnb3","EFNB3",13643,1949
"540","Mmd","MMD",67468,23531
"541","Hlf","HLF",217082,3131
"542","Fam162a","FAM162A",70186,26355
"543","Rpl8","RPL8",26961,6132
"544","Grm3","GRM3",108069,2913
"545","Ssbp2","SSBP2",66970,23635
"546","Fancl","FANCL",67030,55120
"547","Brinp2","BRINP2",240843,57795
"548","Gstm5","GSTM3",14866,2947
"549","Gstm7","GSTM2",68312,2946
"550","Stat3","STAT3",20848,6774
"551","Stat5a","STAT5A",20850,6776
"552","Ptrf","PTRF",19285,284119
"553","Map3k11","MAP3K11",26403,4296
"554","Akt2","AKT2",11652,208
"555","Dnaja3","DNAJA3",83945,9093
"556","Hmox2","HMOX2",15369,3163
"557","Cdip1","CDIP1",66626,29965
"558","Zak","ZAK",65964,51776
"559","Cwc15","CWC15",66070,51503
"560","Col5a3","COL5A3",53867,50509
"561","Dnmt1","DNMT1",13433,1786
"562","Ppan","PPAN",235036,56342
"563","Angptl2","ANGPTL2",26360,23452
"564","Cacna1e","CACNA1E",12290,777
"565","Cacna1b","CACNA1B",12287,774
"566","Trmt10a","TRMT10A",108943,93587
"567","Etv1","ETV1",14009,2115
"568","Kifc2","KIFC2",16581,90990
"569","Psap","PSAP",19156,5660
"570","Ikbkg","IKBKG",16151,8517
"571","Pax2","PAX2",18504,5076
"572","Wars2","WARS2",70560,10352
"573","Atn1","ATN1",13498,1822
"574","Phb2","PHB2",12034,11331
"575","Ptpn6","PTPN6",15170,5777
"576","Eno2","ENO2",13807,2026
"577","Emg1","EMG1",14791,10436
"578","Lpcat3","LPCAT3",14792,10162
"579","Atp6v1f","ATP6V1F",66144,9296
"580","Clcn5","CLCN5",12728,1184
"581","Clcn3","CLCN3",12725,1182
"582","Hif3a","HIF3A",53417,64344
"583","Gpx6","GPX6",75512,257202
"584","Pde1c","PDE1C",18575,5137
"585","Utp20","UTP20",70683,27340
"586","Cul3","CUL3",26554,8452
"587","Sst","SST",20604,6750
"588","Large","LARGE",16795,9215
"589","Ddx56","DDX56",52513,54606
"590","Tmed4","TMED4",103694,222068
"591","Col26a1","COL26A1",140709,136227
"592","Bid","BID",12122,637
"593","Ralb","RALB",64143,5899
"594","Dnajb11","DNAJB11",67838,51726
"595","Tbccd1","TBCCD1",70573,55171
"596","Clec11a","CLEC11A",20256,6320
"597","Zfp324","ZNF324",243834,25799
"598","Gab2","GAB2",14389,9846
"599","Coro1c","CORO1C",23790,23603
"600","Tax1bp1","TAX1BP1",52440,8887
"601","Ndrg2","NDRG2",29811,57447
"602","Mettl17","METTL17",52535,64745
"603","Arhgef40","ARHGEF40",268739,55701
"604","Pnpla6","PNPLA6",50767,10908
"605","Mcoln1","MCOLN1",94178,57192
"606","Arhgef18","ARHGEF18",102098,23370
"607","Pkn2","PKN2",109333,5586
"608","Etfb","ETFB",110826,2109
"609","Stxbp2","STXBP2",20911,6813
"610","Pcp2","PCP2",18545,126006
"611","Sgce","SGCE",20392,8910
"612","Chn2","CHN2",69993,1124
"613","Wwox","WWOX",80707,51741
"614","Slbp","SLBP",20492,7884
"615","Aqp1","AQP1",11826,358
"616","Arid3b","ARID3B",56380,10620
"617","Cnn2","CNN2",12798,1265
"618","Polr2e","POLR2E",66420,5434
"619","Myo9b","MYO9B",17925,4650
"620","Hdac9","HDAC9",79221,9734
"621","Mtfp1","MTFP1",67900,51537
"622","Rab23","RAB23",19335,51715
"623","Rab11a","RAB11A",53869,8766
"624","Eif2b2","EIF2B2",217715,8892
"625","Dlst","DLST",78920,1743
"626","Pgf","PGF",18654,5228
"627","Ulk2","ULK2",29869,9706
"628","Ccl24","CCL24",56221,6369
"629","Dgkq","DGKQ",110524,1609
"630","Grap","GRAP",71520,10750
"631","Chmp2b","CHMP2B",68942,25978
"632","Plod3","PLOD3",26433,8985
"633","Ap1s1","AP1S1",11769,1174
"634","Mapk13","MAPK13",26415,5603
"635","Srpk1","SRPK1",20815,6732
"636","Pax3","PAX3",18505,5077
"637","Lbr","LBR",98386,3930
"638","Crabp2","CRABP2",12904,1382
"639","Bcan","BCAN",12032,63827
"640","Hapln2","HAPLN2",73940,60484
"641","Prcc","PRCC",94315,5546
"642","Rrnad1","RRNAD1",229503,51093
"643","Hdgf","HDGF",15191,3068
"644","Slc25a18","SLC25A18",71803,83733
"645","Thop1","THOP1",50492,7064
"646","Apba3","APBA3",57267,9546
"647","Matk","MATK",17179,4145
"648","Pias4","PIAS4",59004,51588
"649","Map2k1","MAP2K1",26395,5604
"650","Sgta","SGTA",52551,6449
"651","Tmem242","TMEM242",70544,729515
"652","Dtx2","DTX2",74198,113878
"653","Hspb1","HSPB1",15507,3315
"654","Rasa4","RASA4",54153,10156
"655","Syt5","SYT5",53420,6861
"656","Hnrnpa2b1","HNRNPA2B1",53379,3181
"657","Ccdc130","CCDC130",67736,81576
"658","Mri1","MRI1",67873,84245
"659","Prkacb","PRKACB",18749,5567
"660","Sgsh","SGSH",27029,6448
"661","Chd5","CHD5",269610,26038
"662","Cstb","CSTB",13014,1476
"663","Sh2b2","SH2B2",23921,10603
"664","Pex5","PEX5",19305,5830
"665","Jkamp","JKAMP",104771,51528
"666","Cd44","CD44",12505,960
"667","Slc1a2","SLC1A2",20511,6506
"668","Eif2ak4","EIF2AK4",27103,440275
"669","Wdr1","WDR1",22388,9948
"670","Slc2a9","SLC2A9",117591,56606
"671","Wisp1","WISP1",22402,8840
"672","Ndrg1","NDRG1",17988,10397
"673","Man2b1","MAN2B1",17159,4125
"674","Klf5","KLF5",12224,688
"675","Wdr83","WDR83",67836,84292
"676","Prdx2","PRDX2",21672,7001
"677","Polr2a","POLR2A",20020,5430
"678","Senp3","SENP3",80886,26168
"679","Plekha8","PLEKHA8",231999,84725
